time,longitude,latitude,t,q,u,v,z,p
1997-03-01 09:00:00,-88.75,34.25,293.19995,0.014610935,-0.43145943,4.0622425,1133.2009,99920.82
1997-03-01 09:00:00,-88.75,34.25,293.48077,0.01446802,-0.642993,6.5548677,1345.3372,99672.22
1997-03-01 09:00:00,-88.75,34.25,293.09604,0.0145416455,-0.70198536,7.504236,1576.6178,99401.81
1997-03-01 09:00:00,-88.75,34.25,292.87216,0.014551429,-0.7241173,8.367929,1828.7676,99105.3
1997-03-01 09:00:00,-88.75,34.25,292.7875,0.014506525,-0.667861,9.550603,2105.594,98782.99
1997-03-01 09:00:00,-88.75,34.25,292.6911,0.014454846,-0.63890266,10.479898,2408.0981,98431.46
1997-03-01 09:00:00,-88.75,34.25,292.5879,0.014390253,-0.56085587,11.516188,2738.4663,98048.18
1997-03-01 09:00:00,-88.75,34.25,292.52985,0.01430905,-0.42014313,12.628372,3100.0427,97630.66
1997-03-01 09:00:00,-88.75,34.25,292.43634,0.014220697,-0.22413635,13.678599,3494.3342,97177.49
1997-03-01 09:00:00,-88.75,34.25,292.33002,0.014119317,0.03920746,14.749756,3925.0295,96684.11
1997-03-01 09:00:00,-88.75,34.25,292.0527,0.014074807,0.33505058,15.621945,4395.009,96149.1
1997-03-01 09:00:00,-88.75,34.25,291.80103,0.014006944,0.84262085,16.78267,4906.338,95567.836
1997-03-01 09:00:00,-88.75,34.25,291.71982,0.013851305,1.4333916,17.787699,5464.27,94938.8
1997-03-01 09:00:00,-88.75,34.25,291.4066,0.013756513,2.052765,18.590023,6071.437,94258.34
1997-03-01 09:00:00,-88.75,34.25,291.0058,0.013659869,2.8203945,19.375463,6731.9126,93523.836
1997-03-01 09:00:00,-88.75,34.25,290.66534,0.01350581,3.64423,20.015787,7447.9146,92730.72
1997-03-01 09:00:00,-88.75,34.25,290.30554,0.0133125745,4.7174835,20.643581,8225.601,91877.31
1997-03-01 09:00:00,-88.75,34.25,289.8899,0.013080837,5.7695637,21.072254,9068.266,90959.05
1997-03-01 09:00:00,-88.75,34.25,289.34528,0.012791501,7.6627045,21.5359,9979.8,89975.34
1997-03-01 09:00:00,-88.75,34.25,288.70752,0.012421225,9.479971,21.6974,10964.864,88921.734
1997-03-01 09:00:00,-88.75,34.25,288.047,0.012072945,11.177959,21.603313,12027.112,87796.33
1997-03-01 09:00:00,-88.75,34.25,288.29785,0.011921674,12.85881,21.462013,13172.912,86597.36
1997-03-01 09:00:00,-88.75,34.25,288.4721,0.011559005,12.994875,21.759434,14408.792,85322.766
1997-03-01 09:00:00,-88.75,34.25,287.90244,0.011100266,12.8957,21.765682,15737.8955,83972.66
1997-03-01 09:00:00,-88.75,34.25,287.18146,0.010639383,12.97764,21.234554,17161.914,82545.89
1997-03-01 09:00:00,-88.75,34.25,286.36682,0.010220073,12.963617,20.572973,18684.02,81043.13
1997-03-01 09:00:00,-88.75,34.25,285.20105,0.009806775,12.818697,20.168701,20306.963,79465.35
1997-03-01 09:00:00,-88.75,34.25,284.17004,0.009262077,12.659401,20.175436,22032.416,77814.375
1997-03-01 09:00:00,-88.75,34.25,283.02493,0.008459359,12.671041,20.384436,23862.68,76093.94
1997-03-01 09:00:00,-88.75,34.25,281.74384,0.0074955025,12.902084,20.568998,25797.959,74307.695
1997-03-01 09:00:00,-88.75,34.25,280.40637,0.006642462,13.377682,20.693974,27838.062,72460.25
