time,longitude,latitude,t,q,u,v,z,p
2015-05-25 05:00:00,-100.25,37.25,288.19446,0.010800881,-4.9386253,4.895667,7554.509,91970.586
2015-05-25 05:00:00,-100.25,37.25,288.1696,0.010789154,-6.5830603,6.485841,7761.787,91742.37
2015-05-25 05:00:00,-100.25,37.25,288.07047,0.01077683,-7.6151714,7.53063,7987.082,91494.0
2015-05-25 05:00:00,-100.25,37.25,287.9485,0.010759158,-8.427888,8.413149,8232.943,91224.07
2015-05-25 05:00:00,-100.25,37.25,287.8124,0.0107356785,-9.137118,9.247269,8501.247,90930.87
2015-05-25 05:00:00,-100.25,37.25,287.67465,0.0107040135,-9.781102,10.102896,8792.628,90612.92
2015-05-25 05:00:00,-100.25,37.25,287.54745,0.010659667,-10.353319,10.996176,9109.818,90267.68
2015-05-25 05:00:00,-100.25,37.25,287.4434,0.0105976835,-10.833186,11.962757,9456.141,89892.625
2015-05-25 05:00:00,-100.25,37.25,287.37646,0.010511726,-11.1672325,13.024237,9832.488,89485.31
2015-05-25 05:00:00,-100.25,37.25,287.3773,0.010400329,-11.287754,14.160866,10243.043,89043.14
2015-05-25 05:00:00,-100.25,37.25,287.45645,0.010263873,-11.126122,15.320187,10691.139,88564.64
2015-05-25 05:00:00,-100.25,37.25,287.58435,0.010114636,-10.645017,16.406536,11178.239,88047.16
2015-05-25 05:00:00,-100.25,37.25,287.71347,0.009975509,-9.921265,17.334337,11709.008,87486.12
2015-05-25 05:00:00,-100.25,37.25,287.80194,0.009846734,-8.988766,18.175217,12286.368,86880.836
2015-05-25 05:00:00,-100.25,37.25,287.95087,0.009697692,-7.6094074,19.12488,12914.336,86226.62
2015-05-25 05:00:00,-100.25,37.25,288.06158,0.009521605,-6.12525,19.93932,13596.852,85522.375
2015-05-25 05:00:00,-100.25,37.25,288.08853,0.009303457,-4.5684643,20.62037,14336.752,84764.36
2015-05-25 05:00:00,-100.25,37.25,287.96524,0.009025433,-2.9699783,21.135302,15139.447,83949.984
2015-05-25 05:00:00,-100.25,37.25,287.76215,0.008657724,-1.3009348,21.445177,16007.781,83077.125
2015-05-25 05:00:00,-100.25,37.25,287.4894,0.008154308,0.38914776,21.459848,16946.23,82142.77
2015-05-25 05:00:00,-100.25,37.25,287.1338,0.0074521643,2.0517511,21.079264,17958.434,81145.5
2015-05-25 05:00:00,-100.25,37.25,286.66452,0.006616963,3.6208458,20.396324,19048.828,80083.55
2015-05-25 05:00:00,-100.25,37.25,286.0699,0.0057102563,5.084257,19.508793,20219.89,78954.305
2015-05-25 05:00:00,-100.25,37.25,285.33856,0.004921363,6.415821,18.489338,21476.156,77758.39
2015-05-25 05:00:00,-100.25,37.25,284.45294,0.0042645964,7.63138,17.445051,22820.412,76494.69
2015-05-25 05:00:00,-100.25,37.25,283.40747,0.0037740862,8.7205715,16.338306,24254.863,75162.86
2015-05-25 05:00:00,-100.25,37.25,282.16452,0.0035302371,9.690996,15.122095,25782.807,73764.94
2015-05-25 05:00:00,-100.25,37.25,280.7121,0.0034513013,10.549675,13.903665,27404.967,72301.28
2015-05-25 05:00:00,-100.25,37.25,279.11584,0.0034628988,11.362206,12.610581,29122.545,70775.7
