time,longitude,latitude,t,q,u,v,z,p
2015-11-16 23:00:00,-101.0,35.25,290.2709,0.010424359,-3.7866201,9.6181135,9572.521,88723.72
2015-11-16 23:00:00,-101.0,35.25,290.19247,0.010376514,-4.9768305,12.074888,9781.091,88503.94
2015-11-16 23:00:00,-101.0,35.25,290.0741,0.010332421,-5.5497437,13.460886,10007.428,88264.46
2015-11-16 23:00:00,-101.0,35.25,289.87985,0.010304131,-5.946514,14.546154,10254.389,88005.016
2015-11-16 23:00:00,-101.0,35.25,289.67264,0.010273976,-6.2404594,15.440453,10521.926,87723.94
2015-11-16 23:00:00,-101.0,35.25,289.44257,0.010241247,-6.459792,16.25778,10812.102,87419.8
2015-11-16 23:00:00,-101.0,35.25,289.1732,0.010206073,-6.625125,17.033451,11129.132,87089.08
2015-11-16 23:00:00,-101.0,35.25,288.89688,0.010168911,-6.7285824,17.792196,11472.41,86731.28
2015-11-16 23:00:00,-101.0,35.25,288.5769,0.010117464,-6.7623672,18.524742,11846.489,86343.055
2015-11-16 23:00:00,-101.0,35.25,288.2213,0.010061507,-6.710306,19.237974,12253.467,85922.805
2015-11-16 23:00:00,-101.0,35.25,287.80643,0.0099910535,-6.583662,19.952547,12694.93,85467.16
2015-11-16 23:00:00,-101.0,35.25,287.43213,0.009915513,-6.3452682,20.628712,13175.229,84974.47
2015-11-16 23:00:00,-101.0,35.25,287.00235,0.009778532,-5.996504,21.20448,13696.729,84442.266
2015-11-16 23:00:00,-101.0,35.25,286.35715,0.009721803,-5.681448,21.558958,14263.076,83866.91
2015-11-16 23:00:00,-101.0,35.25,286.4118,0.009640301,-5.0649357,22.04318,14876.944,83246.766
2015-11-16 23:00:00,-101.0,35.25,286.33957,0.00963741,-4.513918,22.38651,15543.6,82578.305
2015-11-16 23:00:00,-101.0,35.25,285.85272,0.009593173,-3.9311142,22.625288,16266.01,81858.85
2015-11-16 23:00:00,-101.0,35.25,285.4168,0.009462512,-3.3250828,22.796494,17047.752,81086.87
2015-11-16 23:00:00,-101.0,35.25,284.97568,0.009315718,-2.6259708,22.917198,17891.904,80259.77
2015-11-16 23:00:00,-101.0,35.25,284.36935,0.009188312,-1.8862915,23.009876,18803.508,79374.11
2015-11-16 23:00:00,-101.0,35.25,283.40192,0.009048531,-1.1832695,23.080187,19785.129,78429.5
2015-11-16 23:00:00,-101.0,35.25,282.77362,0.008817897,-0.14489174,23.015678,20840.285,77422.7
2015-11-16 23:00:00,-101.0,35.25,281.8935,0.008588868,1.1820335,22.6643,21973.793,76353.625
2015-11-16 23:00:00,-101.0,35.25,281.2512,0.008269204,2.132038,22.347645,23188.621,75220.41
2015-11-16 23:00:00,-101.0,35.25,280.2188,0.007780211,3.6059341,22.249401,24488.107,74022.875
2015-11-16 23:00:00,-101.0,35.25,279.30426,0.0071019344,5.267618,22.207207,25875.023,72761.21
2015-11-16 23:00:00,-101.0,35.25,278.1488,0.006266772,7.126175,22.226658,27351.104,71436.36
2015-11-16 23:00:00,-101.0,35.25,276.77393,0.0054899557,8.846641,22.219398,28918.016,70049.64
2015-11-16 23:00:00,-101.0,35.25,275.65192,0.0049116104,10.305273,22.170074,30577.596,68603.77
2015-11-16 23:00:00,-101.0,35.25,274.44373,0.004519635,11.799692,22.098316,32331.676,67100.87
2015-11-16 23:00:00,-101.0,35.25,273.34155,0.0042128838,12.978741,22.031792,34180.547,65545.0
2015-11-16 23:00:00,-101.0,35.25,272.29578,0.003742132,14.405089,21.939129,36125.453,63941.703
2015-11-16 23:00:00,-101.0,35.25,271.2256,0.0030530791,16.532423,21.902027,38164.598,62294.945
2015-11-16 23:00:00,-101.0,35.25,270.05542,0.0025071204,18.491028,21.972935,40296.09,60612.152
2015-11-16 23:00:00,-101.0,35.25,268.67914,0.0021079509,20.338396,22.14111,42515.355,58899.66
