time,longitude,latitude,t,q,u,v,z,p
2022-05-07,-80.0,36.25,293.1876,0.013760301,1.5268927,0.5989218,2578.2632,97012.63
2022-05-07,-80.0,36.25,293.46072,0.013521818,2.1547394,1.1801825,2789.986,96771.18
2022-05-07,-80.0,36.25,293.61224,0.013269209,2.5628786,1.7067032,3020.7883,96508.41
2022-05-07,-80.0,36.25,293.56525,0.013099397,2.8668756,2.1993265,3273.4856,96221.875
2022-05-07,-80.0,36.25,293.4503,0.012952497,3.1109705,2.6972723,3548.5283,95910.82
2022-05-07,-80.0,36.25,293.29886,0.01281645,3.331688,3.2161274,3849.942,95570.79
2022-05-07,-80.0,36.25,293.11258,0.012692124,3.51128,3.7720642,4177.9253,95201.2
2022-05-07,-80.0,36.25,292.8874,0.01257719,3.689455,4.350787,4536.8545,94799.52
2022-05-07,-80.0,36.25,292.60397,0.012472372,3.8622074,4.959626,4927.323,94363.31
2022-05-07,-80.0,36.25,292.19986,0.012341352,3.986477,5.5827065,5354.084,93888.92
2022-05-07,-80.0,36.25,291.95734,0.012250572,4.1377277,6.297806,5818.023,93373.89
2022-05-07,-80.0,36.25,291.59497,0.012149127,4.2755337,7.032242,6323.1973,92816.516
2022-05-07,-80.0,36.25,291.21518,0.012042916,4.403038,7.785857,6873.8135,92212.22
2022-05-07,-80.0,36.25,290.77615,0.011918069,4.5211143,8.528703,7472.2104,91559.28
2022-05-07,-80.0,36.25,290.30258,0.011831888,4.6260166,9.3341,8121.9097,90854.0
2022-05-07,-80.0,36.25,289.88876,0.011755292,4.7642136,10.239543,8826.61,90093.76
2022-05-07,-80.0,36.25,289.44208,0.0117016295,4.94376,11.163948,9591.125,89274.79
2022-05-07,-80.0,36.25,288.90067,0.011665099,5.2718754,12.073935,10419.377,88394.984
2022-05-07,-80.0,36.25,288.43057,0.011659388,5.805729,12.900671,11314.437,87451.69
2022-05-07,-80.0,36.25,287.81302,0.011720053,6.5441666,13.542148,12282.241,86441.39
2022-05-07,-80.0,36.25,287.10516,0.011859318,7.4786777,14.031463,13325.853,85363.14
2022-05-07,-80.0,36.25,286.41684,0.011959421,8.7289505,14.377186,14449.461,84214.17
2022-05-07,-80.0,36.25,285.75333,0.0117784655,10.256346,14.5134945,15657.587,82993.375
2022-05-07,-80.0,36.25,285.02136,0.011338339,12.114424,14.507074,16953.855,81699.37
2022-05-07,-80.0,36.25,284.00507,0.010676119,13.945154,14.355648,18341.594,80332.016
2022-05-07,-80.0,36.25,282.80927,0.0097724255,15.579094,14.123035,19822.316,78892.02
2022-05-07,-80.0,36.25,281.69553,0.008559979,16.922968,13.848347,21399.111,77379.914
2022-05-07,-80.0,36.25,280.3178,0.0071125748,17.797308,13.480585,23073.672,75797.586
2022-05-07,-80.0,36.25,278.74835,0.0057627233,18.178976,13.031868,24845.682,74148.38
2022-05-07,-80.0,36.25,276.90918,0.0048122006,18.278263,12.768974,26715.746,72435.58
2022-05-07,-80.0,36.25,275.50955,0.004130811,18.342213,12.652687,28684.678,70663.94
2022-05-07,-80.0,36.25,274.77655,0.0035294476,18.544382,12.817673,30756.047,68838.67
2022-05-07,-80.0,36.25,273.9452,0.0032218406,18.781399,13.125921,32931.93,66967.016
2022-05-07,-80.0,36.25,272.94983,0.0030773357,18.745968,13.517405,35209.54,65055.64
2022-05-07,-80.0,36.25,271.75055,0.00286286,18.613787,13.92939,37584.47,63113.17
2022-05-07,-80.0,36.25,270.2884,0.002604973,18.478529,14.353725,40050.23,61147.637
2022-05-07,-80.0,36.25,268.76285,0.0023289893,18.32896,14.798298,42599.703,59168.156
2022-05-07,-80.0,36.25,267.1954,0.0021014153,18.192768,15.296076,45226.066,57184.914
