time,longitude,latitude,t,q,u,v,z,p
2011-04-27 23:00:00,-87.0,33.25,294.51617,0.015688697,2.5492754,4.150635,1744.0486,98321.414
2011-04-27 23:00:00,-87.0,33.25,294.47348,0.015607127,3.9417925,6.488632,1955.9458,98077.12
2011-04-27 23:00:00,-87.0,33.25,294.4371,0.015517662,4.802375,7.9206543,2188.2256,97810.65
2011-04-27 23:00:00,-87.0,33.25,294.2731,0.015482732,5.51528,9.067423,2441.848,97520.62
2011-04-27 23:00:00,-87.0,33.25,294.10095,0.015445817,6.1612864,10.082785,2719.325,97204.28
2011-04-27 23:00:00,-87.0,33.25,293.9108,0.015408899,6.7814417,11.040876,3022.0132,96859.195
2011-04-27 23:00:00,-87.0,33.25,293.69806,0.015378667,7.3957376,11.948692,3352.8977,96483.8
2011-04-27 23:00:00,-87.0,33.25,293.49426,0.015345542,8.003058,12.854576,3714.2944,96074.555
2011-04-27 23:00:00,-87.0,33.25,293.17673,0.015317304,8.619541,13.730333,4108.699,95630.05
2011-04-27 23:00:00,-87.0,33.25,293.0652,0.015224549,9.276918,14.636805,4537.7646,95147.66
2011-04-27 23:00:00,-87.0,33.25,292.63193,0.015259263,9.968393,15.573605,5006.323,94623.92
2011-04-27 23:00:00,-87.0,33.25,292.35498,0.01519642,10.755529,16.58013,5517.435,94055.17
2011-04-27 23:00:00,-87.0,33.25,292.16,0.015154064,11.521021,17.581295,6072.3604,93439.836
2011-04-27 23:00:00,-87.0,33.25,291.71588,0.015047611,12.294493,18.44729,6677.5015,92774.234
2011-04-27 23:00:00,-87.0,33.25,291.644,0.0152978245,13.162621,19.46541,7334.354,92055.67
2011-04-27 23:00:00,-87.0,33.25,291.34653,0.015331172,14.1188545,20.485518,8048.5835,91281.05
2011-04-27 23:00:00,-87.0,33.25,291.06262,0.015427293,15.210743,21.568169,8823.551,90446.63
2011-04-27 23:00:00,-87.0,33.25,290.87292,0.015516604,16.38504,22.647812,9663.783,89549.82
2011-04-27 23:00:00,-87.0,33.25,290.84457,0.015521661,17.615389,23.66136,10573.99,88587.984
2011-04-27 23:00:00,-87.0,33.25,290.6085,0.015503614,18.802334,24.47752,11558.567,87558.125
2011-04-27 23:00:00,-87.0,33.25,290.35886,0.015265981,19.933628,25.146772,12622.602,86458.805
2011-04-27 23:00:00,-87.0,33.25,290.20624,0.014897767,21.896643,25.845272,13769.762,85287.266
2011-04-27 23:00:00,-87.0,33.25,289.9572,0.014566148,23.169542,25.888058,15005.67,84042.41
2011-04-27 23:00:00,-87.0,33.25,289.40244,0.013971968,23.514591,25.593668,16332.693,82722.84
2011-04-27 23:00:00,-87.0,33.25,288.52106,0.012938283,23.533485,25.069618,17754.16,81328.945
2011-04-27 23:00:00,-87.0,33.25,287.6505,0.011620702,23.674696,24.318476,19272.088,79860.39
2011-04-27 23:00:00,-87.0,33.25,286.80353,0.010260105,24.025187,23.445292,20890.443,78318.695
2011-04-27 23:00:00,-87.0,33.25,285.77884,0.009114573,24.418758,22.70432,22610.744,76705.74
2011-04-27 23:00:00,-87.0,33.25,284.58466,0.008123357,24.833502,22.229445,24434.658,75024.34
2011-04-27 23:00:00,-87.0,33.25,283.1814,0.0071548424,25.327204,21.945776,26362.572,73278.72
2011-04-27 23:00:00,-87.0,33.25,281.44293,0.0061636292,26.049614,21.743765,28392.99,71472.59
2011-04-27 23:00:00,-87.0,33.25,279.71497,0.0052270326,26.928974,21.50296,30524.102,69612.66
2011-04-27 23:00:00,-87.0,33.25,278.35544,0.0044130418,27.979712,21.300322,32756.322,67705.05
2011-04-27 23:00:00,-87.0,33.25,277.21063,0.003760056,29.139051,21.107317,35089.605,65757.89
2011-04-27 23:00:00,-87.0,33.25,276.0031,0.0032414736,30.25794,20.958006,37521.223,63778.73
2011-04-27 23:00:00,-87.0,33.25,274.9018,0.0027996344,31.24328,20.857525,40047.89,61776.535
2011-04-27 23:00:00,-87.0,33.25,273.31116,0.0025326957,31.956007,20.684088,42662.492,59761.098
2011-04-27 23:00:00,-87.0,33.25,271.4511,0.0023377484,32.446045,20.39779,45354.03,57741.773
2011-04-27 23:00:00,-87.0,33.25,269.4366,0.002134489,32.860764,20.08619,48113.27,55728.61
2011-04-27 23:00:00,-87.0,33.25,267.25757,0.0019383392,33.31137,19.763947,50928.293,53731.305
2011-04-27 23:00:00,-87.0,33.25,265.0664,0.001760256,33.75772,19.503687,53788.496,51759.363
2011-04-27 23:00:00,-87.0,33.25,262.9079,0.0016043752,34.05688,19.38233,56679.047,49824.145
2011-04-27 23:00:00,-87.0,33.25,260.76727,0.0014638593,34.127857,19.402311,59583.797,47937.53
2011-04-27 23:00:00,-87.0,33.25,258.68045,0.0013529313,34.071217,19.486496,62491.414,46105.215
2011-04-27 23:00:00,-87.0,33.25,256.594,0.0012756686,33.968178,19.60484,65399.445,44329.094
2011-04-27 23:00:00,-87.0,33.25,254.62694,0.0011826478,33.935562,19.673584,68308.3,42607.45
2011-04-27 23:00:00,-87.0,33.25,252.68324,0.0010755853,33.99576,19.587788,71218.875,40939.297
2011-04-27 23:00:00,-87.0,33.25,250.6888,0.0009696599,34.156036,19.29857,74129.71,39323.445
2011-04-27 23:00:00,-87.0,33.25,248.68246,0.00093119417,34.394844,18.816433,77042.12,37758.72
2011-04-27 23:00:00,-87.0,33.25,246.78557,0.00086301967,34.675507,18.152348,79955.086,36244.055
2011-04-27 23:00:00,-87.0,33.25,244.90556,0.0007967988,35.002235,17.346508,82870.42,34778.223
2011-04-27 23:00:00,-87.0,33.25,243.01064,0.000737625,35.332733,16.458565,85787.51,33360.055
2011-04-27 23:00:00,-87.0,33.25,241.15665,0.0006446255,35.574097,15.518761,88706.1,31988.496
2011-04-27 23:00:00,-87.0,33.25,239.24942,0.0005508227,35.640434,14.598406,91626.89,30662.355
2011-04-27 23:00:00,-87.0,33.25,237.3228,0.0004550967,35.587044,13.742582,94548.93,29380.576
