time,longitude,latitude,t,q,u,v,z,p
2015-05-27 23:00:00,-100.25,36.0,295.49475,0.015580858,-3.0585346,6.0216417,7669.578,92423.516
2015-05-27 23:00:00,-100.25,36.0,295.314,0.015427807,-3.7984133,7.496397,7882.6626,92193.8
2015-05-27 23:00:00,-100.25,36.0,295.1608,0.015285302,-4.2809954,8.376268,8114.375,91943.74
2015-05-27 23:00:00,-100.25,36.0,294.9457,0.015196328,-4.6932564,9.096638,8366.672,91672.875
2015-05-27 23:00:00,-100.25,36.0,294.72525,0.015102598,-5.1121807,9.816572,8642.459,91377.44
2015-05-27 23:00:00,-100.25,36.0,294.4818,0.015019485,-5.455266,10.395479,8941.933,91057.97
2015-05-27 23:00:00,-100.25,36.0,294.2186,0.014932713,-5.8430176,11.025705,9267.215,90709.9
2015-05-27 23:00:00,-100.25,36.0,293.92828,0.014834858,-6.171341,11.602417,9622.981,90332.67
2015-05-27 23:00:00,-100.25,36.0,293.6248,0.014714594,-6.4747744,12.2122135,10009.264,89922.86
2015-05-27 23:00:00,-100.25,36.0,293.34302,0.014562124,-6.730933,12.869942,10431.291,89478.805
2015-05-27 23:00:00,-100.25,36.0,293.13342,0.014418609,-6.886236,13.573772,10889.432,88996.03
2015-05-27 23:00:00,-100.25,36.0,293.1359,0.014264948,-6.87389,14.229553,11388.269,88474.85
2015-05-27 23:00:00,-100.25,36.0,292.8139,0.014141138,-6.698248,14.758804,11931.459,87910.67
2015-05-27 23:00:00,-100.25,36.0,292.54907,0.013835057,-6.3509846,15.118029,12521.639,87300.266
2015-05-27 23:00:00,-100.25,36.0,292.41864,0.0132177565,-5.8448467,15.301376,13162.504,86641.94
2015-05-27 23:00:00,-100.25,36.0,291.90637,0.012459965,-5.280323,15.306929,13857.825,85932.55
2015-05-27 23:00:00,-100.25,36.0,291.88068,0.01164787,-4.627781,15.207893,14610.573,85168.84
2015-05-27 23:00:00,-100.25,36.0,291.78387,0.010964996,-3.9664316,15.049257,15427.18,84348.69
2015-05-27 23:00:00,-100.25,36.0,291.12372,0.010530429,-3.2794914,14.870716,16309.434,83469.45
2015-05-27 23:00:00,-100.25,36.0,291.66342,0.0098099895,-2.6014786,14.639509,17263.766,82528.61
