time,longitude,latitude,t,q,u,v,z,p
2000-05-12 22:00:00,-89.25,38.75,302.41876,0.016499372,2.4076624,4.672287,1609.8323,98184.2
2000-05-12 22:00:00,-89.25,38.75,302.3196,0.016300067,3.2612934,6.7471743,1828.2773,97940.3
2000-05-12 22:00:00,-89.25,38.75,302.1791,0.016180126,3.7967997,7.9805326,2066.0684,97674.15
2000-05-12 22:00:00,-89.25,38.75,302.00363,0.016088367,4.2025023,8.919592,2327.1719,97384.33
2000-05-12 22:00:00,-89.25,38.75,301.79367,0.016012603,4.568264,9.718027,2611.6157,97068.09
2000-05-12 22:00:00,-89.25,38.75,301.56024,0.015942138,4.917491,10.459461,2922.4468,96723.984
2000-05-12 22:00:00,-89.25,38.75,301.2945,0.015874127,5.2327833,11.119349,3261.0215,96348.445
2000-05-12 22:00:00,-89.25,38.75,301.00406,0.015806666,5.57695,11.769308,3632.2612,95940.92
2000-05-12 22:00:00,-89.25,38.75,300.67407,0.015743172,5.8682976,12.35449,4035.741,95497.0
2000-05-12 22:00:00,-89.25,38.75,300.31573,0.015677322,6.1992683,12.954918,4476.29,95015.03
2000-05-12 22:00:00,-89.25,38.75,299.92767,0.015614663,6.517399,13.490511,4956.838,94492.57
2000-05-12 22:00:00,-89.25,38.75,299.4729,0.015540784,6.8818035,14.030975,5479.3604,93924.92
2000-05-12 22:00:00,-89.25,38.75,298.93585,0.015462974,7.2172985,14.454174,6048.0635,93311.51
2000-05-12 22:00:00,-89.25,38.75,298.4374,0.015349255,7.652652,14.90933,6666.395,92646.63
2000-05-12 22:00:00,-89.25,38.75,298.062,0.015140943,8.237203,15.370598,7337.996,91929.59
2000-05-12 22:00:00,-89.25,38.75,297.7074,0.015060269,8.644681,15.636248,8066.6567,91156.3
2000-05-12 22:00:00,-89.25,38.75,297.0288,0.014945738,8.997232,15.734119,8857.691,90323.47
2000-05-12 22:00:00,-89.25,38.75,296.1453,0.014744002,9.423275,15.714285,9713.0625,89428.51
2000-05-12 22:00:00,-89.25,38.75,295.31934,0.014427877,9.993028,15.568716,10637.585,88468.28
2000-05-12 22:00:00,-89.25,38.75,294.3952,0.014184347,10.506782,15.341452,11634.748,87440.78
2000-05-12 22:00:00,-89.25,38.75,293.3984,0.013964315,10.949996,15.058666,12709.602,86343.58
2000-05-12 22:00:00,-89.25,38.75,292.39545,0.01356854,11.492994,14.477413,13865.197,85174.375
2000-05-12 22:00:00,-89.25,38.75,291.38364,0.013018053,12.127711,13.795151,15106.451,83932.09
2000-05-12 22:00:00,-89.25,38.75,290.5083,0.012132183,13.042465,12.967331,16437.352,82615.34
2000-05-12 22:00:00,-89.25,38.75,289.65625,0.011067034,13.987526,12.231182,17861.715,81223.99
2000-05-12 22:00:00,-89.25,38.75,289.1095,0.009438451,15.124295,11.486755,19383.83,79758.73
2000-05-12 22:00:00,-89.25,38.75,288.65698,0.008155878,15.763218,11.541952,21007.895,78220.07
2000-05-12 22:00:00,-89.25,38.75,287.97412,0.007429438,15.601748,12.501839,22736.705,76610.414
2000-05-12 22:00:00,-89.25,38.75,287.03833,0.0068887877,15.329399,13.614037,24572.889,74932.59
2000-05-12 22:00:00,-89.25,38.75,285.7161,0.0055331397,16.051445,15.004646,26514.592,73189.84
2000-05-12 22:00:00,-89.25,38.75,285.04584,0.0046994863,16.257507,16.006691,28563.588,71387.42
2000-05-12 22:00:00,-89.25,38.75,283.95953,0.0020872795,18.260086,17.426682,30719.672,69531.52
