time,longitude,latitude,t,q,u,v,z,p
2024-05-01 23:00:00,-101.0,34.25,294.40192,0.017155556,-4.2968817,4.1481256,7970.9766,91305.09
2024-05-01 23:00:00,-101.0,34.25,294.35828,0.01700548,-4.9347715,4.7303324,8183.806,91079.35
2024-05-01 23:00:00,-101.0,34.25,294.2048,0.016889764,-5.290824,5.106592,8415.133,90832.516
2024-05-01 23:00:00,-101.0,34.25,294.02124,0.016831242,-5.5430565,5.4048977,8666.86,90564.21
2024-05-01 23:00:00,-101.0,34.25,293.83884,0.016780889,-5.7630215,5.7018204,8940.526,90273.71
2024-05-01 23:00:00,-101.0,34.25,293.63495,0.016748155,-6.021488,6.061161,9238.096,89958.56
2024-05-01 23:00:00,-101.0,34.25,293.322,0.016737398,-6.277136,6.485813,9562.9375,89616.22
2024-05-01 23:00:00,-101.0,34.25,293.04205,0.016733205,-6.53701,6.9972343,9916.373,89245.16
2024-05-01 23:00:00,-101.0,34.25,292.7711,0.01671899,-6.783907,7.6024094,10300.906,88841.97
2024-05-01 23:00:00,-101.0,34.25,292.44495,0.01659958,-6.9843845,8.26119,10719.254,88404.02
2024-05-01 23:00:00,-101.0,34.25,292.0819,0.016440798,-7.1021347,8.8741665,11175.43,87930.88
2024-05-01 23:00:00,-101.0,34.25,291.86755,0.016103197,-7.089817,9.514452,11670.665,87417.88
2024-05-01 23:00:00,-101.0,34.25,291.6979,0.01587866,-6.808243,9.807146,12209.332,86862.47
2024-05-01 23:00:00,-101.0,34.25,291.2756,0.015937055,-6.4689426,9.520876,12794.135,86262.97
2024-05-01 23:00:00,-101.0,34.25,290.90073,0.015819266,-6.0938206,9.83919,13429.24,85615.69
2024-05-01 23:00:00,-101.0,34.25,290.60898,0.015745195,-5.612171,9.973797,14117.664,84919.055
2024-05-01 23:00:00,-101.0,34.25,290.23508,0.015580409,-5.128912,10.313536,14865.176,84168.82
2024-05-01 23:00:00,-101.0,34.25,289.8532,0.01553111,-4.627939,10.66629,15673.147,83363.41
2024-05-01 23:00:00,-101.0,34.25,289.10388,0.015653986,-4.0344715,10.943882,16546.543,82499.7
2024-05-01 23:00:00,-101.0,34.25,288.7245,0.015644323,-3.3304405,11.094963,17490.02,81575.7
2024-05-01 23:00:00,-101.0,34.25,288.44357,0.015482435,-2.6652431,11.249054,18507.441,80588.984
2024-05-01 23:00:00,-101.0,34.25,288.18005,0.015126592,-2.133994,11.484896,19603.941,79538.28
2024-05-01 23:00:00,-101.0,34.25,287.81766,0.01477722,-1.5856457,11.756845,20783.355,78421.51
2024-05-01 23:00:00,-101.0,34.25,287.47614,0.014343,-1.0218086,11.9398,22049.975,77238.27
2024-05-01 23:00:00,-101.0,34.25,286.33688,0.013941625,-0.52565193,12.117878,23405.719,75987.95
2024-05-01 23:00:00,-101.0,34.25,285.31628,0.013001508,0.0901556,12.097353,24852.59,74671.2
2024-05-01 23:00:00,-101.0,34.25,284.48926,0.013091744,0.80526924,11.938297,26393.533,73287.56
2024-05-01 23:00:00,-101.0,34.25,283.1512,0.012369179,1.4665632,11.771565,28031.705,71840.375
2024-05-01 23:00:00,-101.0,34.25,281.47498,0.010618518,1.9370594,11.697819,29764.562,70330.94
2024-05-01 23:00:00,-101.0,34.25,279.79324,0.0096380375,2.5212765,11.529932,31592.557,68762.48
2024-05-01 23:00:00,-101.0,34.25,277.88333,0.008033155,3.2569437,11.196663,33514.777,67139.68
2024-05-01 23:00:00,-101.0,34.25,276.44785,0.0067056227,4.131955,10.867006,35531.094,65467.2
2024-05-01 23:00:00,-101.0,34.25,274.82324,0.0058451053,5.169838,10.473272,37641.664,63750.668
2024-05-01 23:00:00,-101.0,34.25,273.12,0.0050783516,6.6072664,10.006159,39842.867,61996.664
