time,longitude,latitude,t,q,u,v,z,p
2011-05-22 03:00:00,-96.0,38.5,294.37103,0.013057471,0.4123783,4.6459312,3554.1287,96184.41
2011-05-22 03:00:00,-96.0,38.5,294.80774,0.012960413,0.6482897,6.766671,3765.5938,95945.79
2011-05-22 03:00:00,-96.0,38.5,295.0772,0.012873135,0.854475,8.220234,3998.0613,95684.97
2011-05-22 03:00:00,-96.0,38.5,295.29233,0.012778884,1.0631075,9.464846,4251.2383,95401.52
2011-05-22 03:00:00,-96.0,38.5,295.46536,0.012670048,1.2896786,10.608326,4527.8125,95092.72
2011-05-22 03:00:00,-96.0,38.5,295.61374,0.012543164,1.5407696,11.695198,4830.9165,94757.1
2011-05-22 03:00:00,-96.0,38.5,295.73203,0.012395189,1.8236122,12.746241,5161.476,94391.1
2011-05-22 03:00:00,-96.0,38.5,295.8135,0.012221548,2.1462498,13.76071,5521.8667,93994.195
2011-05-22 03:00:00,-96.0,38.5,295.8524,0.012018085,2.518608,14.737196,5916.653,93561.95
2011-05-22 03:00:00,-96.0,38.5,295.83997,0.011780099,2.9579792,15.652082,6345.586,93092.74
2011-05-22 03:00:00,-96.0,38.5,295.77832,0.011497464,3.4838047,16.487486,6814.622,92584.11
2011-05-22 03:00:00,-96.0,38.5,295.67374,0.011154307,4.116846,17.182161,7324.9233,92033.36
2011-05-22 03:00:00,-96.0,38.5,295.54837,0.010706595,4.9264984,17.73408,7880.879,91435.95
2011-05-22 03:00:00,-96.0,38.5,295.40637,0.010122106,5.929796,18.0259,8486.014,90791.164
2011-05-22 03:00:00,-96.0,38.5,295.23718,0.009438676,7.023035,17.968428,9142.913,90093.81
2011-05-22 03:00:00,-96.0,38.5,294.99677,0.008741298,8.170322,17.637463,9856.449,89342.8
2011-05-22 03:00:00,-96.0,38.5,294.60764,0.00811048,9.232325,17.068928,10629.068,88533.86
2011-05-22 03:00:00,-96.0,38.5,294.11725,0.007579373,10.242706,16.360817,11467.005,87664.91
2011-05-22 03:00:00,-96.0,38.5,293.49738,0.007173433,11.147701,15.549553,12372.232,86732.805
2011-05-22 03:00:00,-96.0,38.5,292.74545,0.006896204,11.904362,14.669672,13349.824,85735.55
2011-05-22 03:00:00,-96.0,38.5,291.84384,0.0067311297,12.479439,13.755608,14403.136,84670.2
2011-05-22 03:00:00,-96.0,38.5,290.81555,0.006622797,12.869413,12.798634,15536.178,83535.5
2011-05-22 03:00:00,-96.0,38.5,289.67712,0.0065375245,13.034077,11.763483,16752.762,82329.83
2011-05-22 03:00:00,-96.0,38.5,288.47623,0.006438897,13.062842,10.62941,18055.62,81051.83
2011-05-22 03:00:00,-96.0,38.5,287.14917,0.0062777833,12.985012,9.402014,19449.37,79701.84
2011-05-22 03:00:00,-96.0,38.5,285.75293,0.0060288357,12.980376,8.156969,20935.479,78279.58
