Date,Time,Lat,Lon,STP,ESRH,EBWD,MLCAPE,MLCIN,01Shear,obs_pl
1979-04-10,2300,34.00,-98.50,0.0,174.22708873702774,37.0571318770262,99.32382128982866,-225.68552103087583,44.98104030840389,103.0
1979-04-11,0000,33.75,-97.75,4.969526080652811,653.1851976293246,53.945789803946624,1363.7441403606347,-74.47556927240106,40.91782471591934,75.0
1980-06-04,0100,41.00,-98.50,7.678075786357508,339.1198103875548,26.908246163321447,3786.398814467383,-17.186735257372828,26.708222539479657,23.3
1981-05-22,0300,35.25,-98.25,0.0,94.98218898739903,17.185781497815032,7.389373017884197,-442.1623079071217,33.60650368222337,26.7
1981-05-23,0200,35.50,-98.50,7.462996298799914,374.7886763599687,30.835775552512153,3580.980102850182,-74.88557753838637,26.25093315158837,27.0
1982-03-19,0600,36.25,-101.25,2.2890717373557172,428.3307162570387,42.43066838124314,801.6253506258207,-40.328791493829264,37.50750218579629,140.8
1982-04-02,2100,34.00,-95.25,6.304003999188667,378.66701195404494,34.27205834134106,2497.1824057202484,-3.1158549821750112,38.77229229287018,85.0
1982-04-02,2300,33.00,-95.50,9.450561199901319,485.8774282704532,47.4835880293643,2917.5757042908567,-26.127412604169653,39.46150132787074,84.0
1984-03-28,2300,34.50,-79.50,4.405402822486618,489.9937653198822,56.156613177069666,1348.6098602532143,-17.88125544618328,32.45740789962775,72.0
1984-03-28,2300,34.75,-77.75,4.813637979283024,497.7527403310115,52.25712600007867,1693.5761636230607,-71.51940151800545,32.14861008899727,64.0
1984-06-08,0300,40.75,-93.25,5.595442333371427,635.6319083258597,55.764856102813205,1320.4440164376306,-33.45220973301879,42.43362547860686,187.2
1985-05-11,0000,39.00,-97.75,3.5483972623006217,312.35081171491646,28.67537981822584,2394.2185948477095,-76.1505088742952,39.49565296504906,89.6
1985-06-01,0100,40.75,-78.75,2.950580157542876,294.3430147689228,39.88305914269256,1503.6437130294707,-48.63043134205943,43.14501655123534,111.0
1986-03-10,2000,39.25,-87.00,1.8296375053489762,305.6939422237595,43.85413353760544,897.7790786624743,-2.4579928449022197,41.9608213995387,56.0
1987-11-16,0300,32.25,-93.75,0.4893799710277574,375.81693100720986,37.255269415786344,263.8699612829114,-88.96435646458522,41.91423173737141,76.8
1989-07-10,1700,42.50,-73.75,0.0,587.4134963686934,45.76461538695995,1559.5272105213376,-209.47837087634213,43.15800863538608,67.2
1989-11-15,2200,34.75,-86.25,1.4869529265547814,288.12693283484737,40.71839022844634,774.1134672441888,-13.007901795380764,37.57871852675856,29.8
1989-11-15,2200,34.75,-86.75,1.8034201833728525,296.46141780235195,43.120034240913846,912.4729602631678,-1.5094294223253821,35.76822151359132,37.0
1990-06-03,0200,38.75,-86.25,3.500472557917851,503.32589235875145,52.578406555778095,1043.2026082088128,-47.569614348461926,41.19636343394351,66.0
1990-06-03,0300,38.75,-85.75,2.8645438258849167,464.5731063073704,46.20396648992207,924.8954966378361,-49.16206200131533,40.165469188336,65.6
1991-04-26,2300,39.00,-96.25,3.442355266168167,310.0796122474576,32.767088188700704,1665.2281205548973,-18.28044751864298,35.855126506012205,71.0
1992-06-16,0400,38.50,-97.00,3.533042761557779,252.209129350909,24.408277510008592,2724.2898514657113,-57.799403276170615,25.3966233002717,27.0
1992-06-16,2100,43.50,-95.25,3.7686350662553907,317.4442176187428,31.77918925458017,1780.7703796868025,-47.792577498668656,24.301559094054966,26.0
1992-11-21,2100,30.50,-95.25,1.4862993286166066,442.9132927359098,40.12528851188715,503.36014508696064,-19.14468108926636,34.98749343246451,51.2
1992-11-22,0500,31.75,-91.25,3.0328715077406967,392.92647758839746,45.45719091127889,1157.801146293985,-23.048748668259098,42.520605124870585,61.0
1992-11-22,0600,32.00,-89.25,4.733764023754386,368.7186543908862,37.74193733271944,1925.7626244491662,-1.0054187618576151,37.52679039104429,64.0
1992-11-22,0900,33.25,-89.50,7.449763520857796,569.1218837628219,51.7921606804669,1963.4889467620017,-2.502560015233848,48.47717884688684,179.2
1994-04-26,1900,34.75,-94.75,3.205531325309274,169.4953718554085,27.60685544291655,3082.7460771936876,-11.71641525309391,24.28086814772434,19.0
1995-06-09,0200,35.25,-99.50,2.302825496610297,476.2590303678192,42.00393215439173,931.6601053646406,-83.22689588147645,37.36972221898081,47.0
1996-04-20,0100,40.00,-89.25,2.0867321461643678,333.3481073246584,31.568965089962823,1256.8137076240357,-87.93233528370772,32.03444817192681,23.2
1996-10-26,2100,44.75,-96.00,0.9332700587187326,298.34630300685797,37.58030205469966,607.3702504921532,-25.75806941135092,42.784695774240916,27.0
1997-01-24,2300,35.50,-86.25,0.5163173732101324,250.8367861706255,34.63142805941766,308.75696967684013,-9.521849165155421,37.99778733247315,22.4
1997-03-01,0900,34.25,-88.75,1.994843264700451,383.470657510817,40.685714370341216,780.3113063393306,-25.761196541905626,39.27220829079212,48.0
1997-03-02,0000,35.75,-89.75,2.276702023344343,474.2291968326329,51.26165144412488,720.1271152905776,-33.370437452386355,41.20165563266476,72.0
1997-05-12,1900,25.75,-80.25,0.0,69.16893960751183,11.964690902763222,1651.9292070354159,-2.738178526123121,10.605318457646558,12.8
1997-05-27,2100,30.75,-97.50,0.0,8.859958031611477,2.286934478560253,3146.578863116947,-113.17884571029572,0.5785450054760872,8.2
1998-02-23,0500,28.50,-81.00,3.1613394841175957,387.62117623892897,48.757090104987256,1223.3617554613238,-15.939962817872878,42.182106974822695,61.0
